hex,NotoSansCuneiform-Regular,Santakku,SantakkuM,Esagil,CuneiformOB,CuneiformNA,Assurbanipal,CuneiformComposite,name
0x12053,True,True,True,True,True,True,True,True,BUR
0x12054,True,False,True,True,True,True,True,True,BUR2
0x12055,True,True,True,True,True,True,True,True,DA
0x12056,True,True,True,True,True,True,True,True,DAG
0x12057,True,False,False,True,True,False,True,True,DAG KISIM5 TIMES A PLUS MASH
0x12058,True,False,False,True,True,False,True,True,DAG KISIM5 TIMES AMAR
0x12059,True,False,False,True,True,True,True,True,DAG KISIM5 TIMES BALAG
0x1205a,True,False,False,True,True,False,True,True,DAG KISIM5 TIMES BI
0x1205b,True,False,True,True,True,False,True,True,DAG KISIM5 TIMES GA
0x1205c,True,False,False,True,True,True,True,True,
0x1205d,True,False,False,True,True,True,True,True,DAG KISIM5 TIMES GI
0x1205e,True,False,False,True,True,True,True,True,DAG KISIM5 TIMES GIR2
0x1205f,True,False,False,True,True,True,True,True,DAG KISIM5 TIMES GUD
0x12060,True,False,False,True,True,False,True,True,DAG KISIM5 TIMES HA
0x12061,True,False,False,True,True,False,True,True,DAG KISIM5 TIMES IR
0x12062,True,False,False,True,True,False,True,True,DAG KISIM5 TIMES IR PLUS LU
0x12063,True,False,False,True,True,False,True,True,DAG KISIM5 TIMES KAK
0x12064,True,False,False,True,True,False,True,True,DAG KISIM5 TIMES LA
0x12065,True,False,False,True,True,False,True,True,DAG KISIM5 TIMES LU
0x12066,True,False,False,True,True,True,True,True,DAG KISIM5 TIMES LU PLUS MASH2
0x12067,True,False,False,True,True,False,True,True,DAG KISIM5 TIMES LUM
0x12068,True,False,False,True,True,True,True,True,DAG KISIM5 TIMES NE
0x12069,True,False,False,True,True,False,True,True,DAG KISIM5 TIMES PAP PLUS PAP
0x1206a,True,False,False,True,True,False,True,True,DAG KISIM5 TIMES SI
0x1206b,True,False,False,True,True,True,True,True,DAG KISIM5 TIMES TAK4
0x1206c,True,False,False,True,True,True,True,True,DAG KISIM5 TIMES U2 PLUS GIR2
0x1206d,True,False,False,True,True,True,True,True,DAG KISIM5 TIMES USH
0x1206e,True,True,True,True,True,True,True,True,DAM
0x1206f,True,True,True,True,True,True,True,True,DAR
