font,codepoint,name,confidence,n_wedges,doubtful_wedges,accept,notes,source
Esagil,0x122e1,SILA3,0.0018,3,1,,,model
Esagil,0x122e2,SU OVER SU,0.0008,6,1,,,model
Esagil,0x122e4,SUD,0.001,9,1,,,model
Esagil,0x122e7,SUM,0.0002,7,1,,,model
Esagil,0x122fd,TE GUNU,0.0019,9,1,,,model
Esagil,0x12305,TU,0.0023,9,1,,,model
Esagil,0x12334,UR4,0.0039,5,1,,,model
Esagil,0x12335,URI,0.0023,10,1,,,model
Esagil,0x12347,URU TIMES MIN,0.003,7,1,,,model
Esagil,0x1235e,ZA TENU,0.0018,4,1,,,model
Esagil,0x12416,,0.0026,2,1,,,model
Esagil,0x1244c,,0.0018,4,1,,,model
Esagil,0x1244f,,0.0003,2,1,,,model
Esagil,0x12450,,0.0003,3,1,,,model
Esagil,0x1245a,,0.0016,3,1,,,model
